%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1557407605016698262,589,1557407605016698262,gps,0,3,57.7079968,11.9403773,145.847,22.886656,0.0,0.0,0.0,22.886656,0.0,0.0,0.0,37.613689,2
1557407606016703113,590,1557407606016703113,gps,0,3,57.7079965,11.9403815,145.834,23.503104,0.0,0.0,0.0,23.503104,0.0,0.0,0.0,38.081241,2
1557407607016797246,591,1557407607016797246,gps,0,3,57.7079958,11.9403844,145.745,24.088464,0.0,0.0,0.0,24.088464,0.0,0.0,0.0,38.539264,2
1557407608017341928,592,1557407608017341928,gps,0,3,57.7079955,11.9403886,145.76,24.681024,0.0,0.0,0.0,24.681024,0.0,0.0,0.0,39.050001,2
1557407609016886814,593,1557407609016886814,gps,0,3,57.7079948,11.9403919,145.695,25.190361,0.0,0.0,0.0,25.190361,0.0,0.0,0.0,39.526369,2
1557407610017962516,594,1557407610017962516,gps,0,3,57.707994,11.9403956,145.607,25.644096,0.0,0.0,0.0,25.644096,0.0,0.0,0.0,39.980329,2
1557407611018231418,595,1557407611018231418,gps,0,3,57.707993,11.9403996,145.515,26.081449,0.0,0.0,0.0,26.081449,0.0,0.0,0.0,40.462321,2
1557407612017409414,596,1557407612017409414,gps,0,3,57.7079908,11.940399,145.281,26.132544,0.0,0.0,0.0,26.132544,0.0,0.0,0.0,40.96,2
1557407613016287114,597,1557407613016287114,gps,0,3,57.70799,11.9404004,145.19,26.3169,0.0,0.0,0.0,26.3169,0.0,0.0,0.0,41.447844,2
1557407614017309393,598,1557407614017309393,gps,0,3,57.7079887,11.9403994,145.08,26.460736,0.0,0.0,0.0,26.460736,0.0,0.0,0.0,41.899729,2
1557407615017211757,599,1557407615017211757,gps,0,3,57.7079866,11.9403975,144.801,26.574025,0.0,0.0,0.0,26.574025,0.0,0.0,0.0,42.315025,2
1557407616016371388,600,1557407616016371388,gps,0,3,57.7079847,11.940396,144.55,26.697889,0.0,0.0,0.0,26.697889,0.0,0.0,0.0,42.863209,2
1557407617016514084,601,1557407617016514084,gps,0,3,57.7079823,11.9403915,144.098,26.770276,0.0,0.0,0.0,26.770276,0.0,0.0,0.0,43.309561,2
1557407618017250402,602,1557407618017250402,gps,0,3,57.7079792,11.9403858,143.439,26.770276,0.0,0.0,0.0,26.770276,0.0,0.0,0.0,43.678881,2
1557407619016749409,603,1557407619016749409,gps,0,3,57.7079764,11.9403756,142.884,26.790976,0.0,0.0,0.0,26.790976,0.0,0.0,0.0,44.195904,2
1557407620016628031,604,1557407620016628031,gps,0,3,57.7079745,11.9403722,142.661,26.7289,0.0,0.0,0.0,26.7289,0.0,0.0,0.0,44.715969,2
1557407621016950033,605,1557407621016950033,gps,0,3,57.7079722,11.940367,142.293,26.697889,0.0,0.0,0.0,26.697889,0.0,0.0,0.0,45.118089,2
1557407622017437308,606,1557407622017437308,gps,0,3,57.7079694,11.9403608,141.831,26.656569,0.0,0.0,0.0,26.656569,0.0,0.0,0.0,45.454564,2
1557407623017111653,607,1557407623017111653,gps,0,3,57.7079672,11.9403568,141.633,26.6256,0.0,0.0,0.0,26.6256,0.0,0.0,0.0,45.751696,2
1557407624017755838,608,1557407624017755838,gps,0,3,57.7079643,11.940351,141.22,26.604964,0.0,0.0,0.0,26.604964,0.0,0.0,0.0,46.009089,2
1557407625016714305,609,1557407625016714305,gps,0,3,57.707962,11.9403481,141.096,26.604964,0.0,0.0,0.0,26.604964,0.0,0.0,0.0,46.294416,2
1557407626017829705,610,1557407626017829705,gps,0,3,57.707959,11.9403434,140.845,26.646244,0.0,0.0,0.0,26.646244,0.0,0.0,0.0,46.635241,2
1557407627016893813,611,1557407627016893813,gps,0,3,57.7079554,11.940338,140.443,26.687556,0.0,0.0,0.0,26.687556,0.0,0.0,0.0,46.963609,2
1557407628015988634,612,1557407628015988634,gps,0,3,57.7079531,11.9403343,140.459,26.759929,0.0,0.0,0.0,26.759929,0.0,0.0,0.0,47.361924,2
1557407629017210172,613,1557407629017210172,gps,0,3,57.7079505,11.9403281,140.312,26.873856,0.0,0.0,0.0,26.873856,0.0,0.0,0.0,47.872561,2
1557407630016246790,614,1557407630016246790,gps,0,3,57.7079478,11.9403214,140.077,27.008809,0.0,0.0,0.0,27.008809,0.0,0.0,0.0,48.427681,2
1557407631017106248,615,1557407631017106248,gps,0,3,57.7079448,11.940319,139.824,27.081616,0.0,0.0,0.0,27.081616,0.0,0.0,0.0,48.916036,2
1557407632017456902,616,1557407632017456902,gps,0,3,57.7079418,11.9403119,139.449,27.237961,0.0,0.0,0.0,27.237961,0.0,0.0,0.0,49.533444,2
1557407633016437213,617,1557407633016437213,gps,0,3,57.7079387,11.9403044,138.937,27.405225,0.0,0.0,0.0,27.405225,0.0,0.0,0.0,50.1264,2
1557407634017240674,618,1557407634017240674,gps,0,3,57.7079342,11.9403024,138.256,27.489049,0.0,0.0,0.0,27.489049,0.0,0.0,0.0,50.665924,2
1557407635016270369,619,1557407635016270369,gps,0,3,57.7079313,11.9402968,137.765,27.709696,0.0,0.0,0.0,27.709696,0.0,0.0,0.0,51.294244,2
